Liferay Portal Workflow Lang
Liferay Layout Set Prototype API
Liferay Site Navigation Menu Item API
Liferay Product Navigation Simulation Theme Contributor
Liferay Site Navigation Lang
Liferay Site Navigation Language API
Liferay Dynamic Data Mapping Lang
Liferay Journal Lang
Liferay Frontend JS AUI Web
Liferay Portal Scripting Groovy Context API
Liferay Social Activities API
org.osgi:org.osgi.util.function
Liferay Asset Categories Navigation API
Liferay Announcements API
Liferay Ratings API
Liferay Reading Time Editor Plugin
OSGi System Bundle
Liferay Asset Tags Navigation API
Liferay Portal Remote JAXRS Whiteboard JAXB JSON
Liferay Portal OSGi Debug API
Liferay Frontend JS Node Shims
Liferay Asset Tags API
Liferay Frontend JS Polyfill Babel Web
Liferay Portal Output Stream Container API
Liferay Wiki Engine Lang
Liferay Portal Target Platform Indexer API
Liferay OAuth2 Provider Scope SPI
Commons IO
Liferay Frontend Theme Styled
Liferay Petra IO Delta
Liferay Password Policies Admin API
Liferay Social User Statistics API
Liferay OAuth2 Provider Scope API
Liferay Portal Spring Extender API
Liferay Portal Mobile Device Detection FiftyOneDegrees API
Liferay Portal Settings Lang
Liferay Meris API
Liferay Roles Admin API
Liferay Layout Admin API
Liferay Layout Prototype API
Liferay Frontend Theme Unstyled
Liferay Portal Bundle Blacklist API
Liferay Site Navigation Admin API
Liferay Portal OSGi Web WAB Generator API
Liferay Blogs Recent Bloggers API
Liferay Frontend CSS Common
Liferay Adaptive Media Image JS Web
Apache ServiceMix :: Specs :: Annotation API 1.3
Liferay Portal Portlet Bridge Soy API
Liferay Staging Lang
Liferay Portal OSGi Web Jasper Plugins Taglib
Liferay Frontend JS Metal Web
Liferay Map Common
Liferay Product Navigation Simulation API
Liferay Frontend Editor API
Liferay Portal Component Blacklist API
JSR 353 (JSON Processing) API
Liferay User Groups Admin API
Liferay Asset Display API,OSGi System Bundle
Liferay Portal Template Soy Context Contributor,OSGi System Bundle
Liferay Petra Doulos,OSGi System Bundle
Liferay Petra Mail Template,OSGi System Bundle
Liferay Site Item Selector API,Liferay Item Selector API
Liferay Product Navigation Product Menu Theme Contributor,OSGi System Bundle
Liferay Commerce Organization API,OSGi System Bundle
Liferay Petra Model Adapter,OSGi System Bundle
Liferay Document Library Repository Search,OSGi System Bundle
Liferay WebSocket Whiteboard,OSGi System Bundle
Liferay Commerce User API,OSGi System Bundle
Liferay ImageIO Plugins,OSGi System Bundle
Liferay Map API,OSGi System Bundle
Liferay Portal Configuration Extender,OSGi System Bundle
Liferay Social Bookmarks API,OSGi System Bundle
Liferay Text Localizer Address API,OSGi System Bundle
Liferay Person Apio API,Liferay Apio Architect API
Liferay Comment Apio API,Liferay Apio Architect API
Liferay Frontend JS Web,OSGi System Bundle
Liferay Fragment Item Selector API,Liferay Item Selector API
Liferay Frontend Image Editor API,OSGi System Bundle
Liferay Adaptive Media Image Item Selector API,Liferay Item Selector API
Liferay Comment API,Liferay Message Boards API
Liferay Announcements Editor Configuration,OSGi System Bundle
Liferay Adaptive Media Demo Data Creator API,Liferay Adaptive Media Image API
Liferay Portal Weblogic Support,OSGi System Bundle
Liferay Asset Publisher API,OSGi System Bundle
Liferay Organizations Item Selector API,Liferay Item Selector API
Liferay Portal Settings API,OSGi System Bundle
Liferay Commerce Product Item Selector API,Liferay Item Selector API
Liferay Portal Executor,OSGi System Bundle
Liferay Workflow Apio API,Liferay Apio Architect API
Liferay Portal Social Activity Extender,OSGi System Bundle
Liferay Portal Configuration Upgrade API,OSGi System Bundle
Liferay Comment Editor Configuration,OSGi System Bundle
Liferay Asset API,OSGi System Bundle
Liferay Folder Apio API,Liferay Apio Architect API
